season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2007/08,19,26,38,31,30,33,27,21,32,20,26,29,31,38,40,35,32,59,61,62
2009,39,33,26,26,31,33,30,17,27,33,30,26,27,30,36,44,43,47,44,76
2009/10,25,25,36,33,35,26,29,22,28,31,43,36,28,37,33,37,44,50,50,77
2011,24,35,33,44,35,39,24,30,34,30,43,26,39,33,48,48,46,56,67,79
2012,26,40,33,31,25,41,27,28,40,26,35,48,37,38,44,46,60,72,71,90
2013,34,37,44,32,40,30,33,55,29,34,37,35,42,41,34,57,59,78,68,93
2014,20,26,37,23,29,30,32,22,27,28,22,29,30,31,38,40,40,45,64,61
2015,27,14,26,24,46,38,22,24,34,28,29,27,23,35,40,30,45,51,61,67
2016,22,33,23,38,24,20,17,24,27,33,35,29,27,34,27,38,42,48,52,73
2017,30,30,25,26,36,37,23,25,29,36,20,32,30,41,32,35,40,59,48,77
2018,25,26,28,34,32,29,20,24,39,21,31,40,31,42,46,39,38,53,53,71
2019,20,25,23,43,22,24,25,33,23,19,32,25,33,34,25,49,45,62,54,69
2020/21,34,28,31,27,31,25,18,22,24,22,34,35,27,34,32,46,38,53,57,59
2021,15,20,25,29,24,31,29,17,31,27,37,37,37,33,49,42,56,44,51,83
2022,35,35,38,29,45,38,29,38,39,36,34,34,45,43,64,57,47,72,61,93
2023,32,34,36,33,44,34,32,28,37,39,49,38,43,43,62,49,55,65,67,96
2024,36,36,31,45,47,32,27,42,37,35,31,41,55,46,45,44,49,62,60,82
